pattern_file,status,generated_file
S_48.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_48.json
S_49.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_49.json
S_52.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_52.json
S_51.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_51.json
S_55.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_55.json
S_54.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_54.json
S_58.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_58.json
S_50.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_50.json
S_57.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_57.json
S_59.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_59.json
S_56.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_56.json
S_44.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_44.json
S_53.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_53.json
S_60.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_60.json
S_62.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_62.json
S_64.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_64.json
S_61.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_61.json
S_63.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_63.json
S_65.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_65.json
S_66.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_66.json
S_67.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_67.json
S_77.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_77.json
S_78.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_78.json
S_79.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_79.json
S_68.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_68.json
S_71.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_71.json
S_70.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_70.json
S_69.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_69.json
S_74.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_74.json
S_73.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_73.json
S_72.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_72.json
S_75.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_75.json
S_76.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_76.json
S_80.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_80.json
S_82.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_82.json
S_81.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_81.json
S_84.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_84.json
S_83.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_83.json
S_85.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_85.json
S_86.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_86.json
S_87.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_87.json
S_88.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_88.json
S_91.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_91.json
S_89.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_89.json
S_90.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_90.json
S_96.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_96.json
S_92.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_92.json
S_94.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_94.json
S_93.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_93.json
S_97.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_97.json
S_95.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_95.json
S_98.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_98.json
S_100.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_100.json
S_99.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_99.json
S_101.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_101.json
S_104.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_104.json
S_102.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_102.json
S_103.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_103.json
S_105.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_105.json
S_106.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_106.json
S_107.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_107.json
S_109.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_109.json
S_108.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_108.json
S_110.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_110.json
S_111.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_111.json
S_113.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_113.json
S_112.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_112.json
S_115.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_115.json
S_114.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_114.json
S_116.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_116.json
S_117.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_117.json
S_118.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_118.json
S_119.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_119.json
S_120.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_120.json
S_121.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_121.json
S_122.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_122.json
S_124.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_124.json
S_123.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_123.json
S_125.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_125.json
S_126.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_126.json
S_127.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_127.json
S_128.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_128.json
S_130.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_130.json
S_129.json,OK,/home/cohent59/Tal/PROJECT_RUN_PATTERN/pattern_finder/patterns_score_minus120_cores20/pattern_S_129.json
